sample_1	sample_2	chromosome	start	end	is_co	breakpoint_overlaps	overlaps_anywhere	starts_or_ends_chromosome
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	2	155654812	155654812	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	2	139812449	155654812	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	2	224332207	224332207	True	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	2	240475913	240475913	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	2	224332207	240475913	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	2	227959241	227959241	True	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	2	240475913	240475913	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	2	227959241	240475913	False	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	2	227959241	227959241	True	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	2	243043959	243043959	True	False	True	True
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	2	227959241	243043959	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	3	108226	108226	True	False	False	True
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	3	4829953	4829953	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	3	108226	4829953	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	3	108226	108226	True	False	False	True
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	3	4829953	4829953	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	3	108226	4829953	False	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	3	108226	108226	True	False	True	True
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	3	9078794	9078794	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	3	108226	9078794	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	3	28311409	28311409	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	3	29142680	29142680	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	3	28311409	29142680	False	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	3	29142681	29142681	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	3	39024931	39024931	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	3	29142681	39024931	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	3	39024932	39024932	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	3	54377474	54377474	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	3	39024932	54377474	False	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	3	65403001	65403001	True	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	3	106166295	106166295	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	3	65403001	106166295	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	3	106166296	106166296	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	3	156153215	156153215	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	3	106166296	156153215	False	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	3	183292050	183292050	True	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	3	186605882	186605882	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	3	183292050	186605882	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	4	167596	167596	True	False	True	True
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	4	3794137	3794137	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	4	167596	3794137	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	4	8617723	8617723	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	4	23249911	23249911	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	4	8617723	23249911	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	4	85080769	85080769	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	4	129381192	129381192	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	4	85080769	129381192	False	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	4	129381193	129381193	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	4	144609684	144609684	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	4	129381193	144609684	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	4	171691737	171691737	True	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	4	180801471	180801471	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	4	171691737	180801471	False	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	4	187981926	187981926	True	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	4	190936728	190936728	True	False	True	True
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	4	187981926	190936728	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	5	157856	157856	True	False	True	True
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	5	33808683	33808683	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	5	157856	33808683	False	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	5	52175669	52175669	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	5	78019710	78019710	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	5	52175669	78019710	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	5	78019711	78019711	True	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	5	180692833	180692833	True	False	True	True
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	5	78019711	180692833	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	6	467130	467130	True	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	6	36907824	36907824	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	6	467130	36907824	False	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	6	41510975	41510975	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	6	112102422	112102422	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	6	41510975	112102422	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	6	112102423	112102423	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	6	133669770	133669770	True	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	6	112102423	133669770	False	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	6	163314376	163314376	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	6	170981684	170981684	True	False	True	True
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	6	163314376	170981684	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	7	10922654	10922654	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	7	24182774	24182774	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	7	10922654	24182774	False	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	7	24182775	24182775	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	7	45234938	45234938	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	7	24182775	45234938	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	7	45234939	45234939	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	7	79200185	79200185	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	7	45234939	79200185	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	7	147623821	147623821	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	7	159119486	159119486	True	False	True	True
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	7	147623821	159119486	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	8	113565	113565	True	False	False	True
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	8	3805812	3805812	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	8	113565	3805812	False	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	8	3805813	3805813	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	8	4110805	4110805	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	8	3805813	4110805	False	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	8	35904305	35904305	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	8	55272188	55272188	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	8	35904305	55272188	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	8	55272189	55272189	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	8	127887355	127887355	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	8	55272189	127887355	False	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	8	95496678	95496678	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	8	127887355	127887355	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	8	95496678	127887355	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	8	95496678	95496678	True	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	8	146280471	146280471	True	False	True	True
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	8	95496678	146280471	False	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	9	212908	212908	True	False	True	True
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	9	3548978	3548978	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	9	212908	3548978	False	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	9	21550017	21550017	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	9	122623805	122623805	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	9	21550017	122623805	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	10	158946	158946	True	False	True	True
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	10	71849068	71849068	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	10	158946	71849068	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	10	71849069	71849069	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	10	119995173	119995173	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	10	71849069	119995173	False	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	10	119995174	119995174	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	10	131692720	131692720	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	10	119995174	131692720	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	11	241489	241489	True	False	False	True
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	11	24044405	24044405	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	11	241489	24044405	False	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	11	24044406	24044406	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	11	35494431	35494431	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	11	24044406	35494431	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	11	35494432	35494432	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	11	58225520	58225520	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	11	35494432	58225520	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	11	58225521	58225521	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	11	60539516	60539516	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	11	58225521	60539516	False	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	11	60539517	60539517	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	11	79007799	79007799	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	11	60539517	79007799	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	11	79007800	79007800	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	11	101173793	101173793	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	11	79007800	101173793	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	11	101173794	101173794	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	11	108823645	108823645	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	11	101173794	108823645	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	11	111188774	111188774	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	11	131872918	131872918	True	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	11	111188774	131872918	False	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	12	8758537	8758537	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	12	24374060	24374060	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	12	8758537	24374060	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	12	52266136	52266136	True	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	12	119458272	119458272	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	12	52266136	119458272	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	12	77448740	77448740	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	12	78423818	78423818	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	12	77448740	78423818	False	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	12	77448740	77448740	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	12	78423818	78423818	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	12	77448740	78423818	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	12	119458273	119458273	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	12	129224353	129224353	True	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	12	119458273	129224353	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	12	126976874	126976874	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	12	129224353	129224353	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	12	126976874	129224353	False	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	12	126976874	126976874	True	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	12	133744154	133744154	True	False	True	True
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	12	126976874	133744154	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	13	19260565	19260565	True	False	False	True
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	13	22369511	22369511	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	13	19260565	22369511	False	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	13	22438131	22438131	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	13	44032677	44032677	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	13	22438131	44032677	False	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	13	77941700	77941700	True	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	13	115074878	115074878	True	False	True	True
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	13	77941700	115074878	False	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	14	19035752	19035752	True	False	True	True
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	14	29874346	29874346	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	14	19035752	29874346	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	14	94194001	94194001	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	14	107285437	107285437	True	False	True	True
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	14	94194001	107285437	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	15	39047158	39047158	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	15	46135413	46135413	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	15	39047158	46135413	False	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	15	46834703	46834703	True	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	15	58573475	58573475	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	15	46834703	58573475	False	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	15	84066015	84066015	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	15	94854840	94854840	True	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	15	84066015	94854840	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	15	94854841	94854841	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	15	102398631	102398631	True	False	False	True
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	15	94854841	102398631	False	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	15	95758392	95758392	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	15	102398631	102398631	True	False	False	True
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	15	95758392	102398631	False	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	15	95758392	95758392	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	15	102398631	102398631	True	False	False	True
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	15	95758392	102398631	False	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	16	143503	143503	True	False	True	True
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	16	29371524	29371524	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	16	143503	29371524	False	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	16	54989074	54989074	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	16	54992443	54992443	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	16	54989074	54992443	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	16	74865361	74865361	True	False	False	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	16	90141355	90141355	True	False	False	True
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	16	74865361	90141355	False	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	17	5959604	5959604	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	17	14299260	14299260	True	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	17	5959604	14299260	False	False	False	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	17	47514217	47514217	True	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	17	70217370	70217370	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	17	47514217	70217370	False	False	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	18	36365619	36365619	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	18	69135386	69135386	True	True	True	False
male-gparent1_g5-b2-i1	male-gparent1_g5-b3-i1	18	36365619	69135386	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	18	74462853	74462853	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	18	78014582	78014582	True	False	True	True
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	18	74462853	78014582	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	19	261033	261033	True	False	True	True
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	19	5465496	5465496	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b3-i1	19	261033	5465496	False	False	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	19	5465497	5465497	True	True	True	False
male-gparent1_g5-b1-i1	male-gparent1_g5-b2-i1	19	59058083	59058083	True	False	True	True
